Category_Number Description                                                                                                                                                                                                                                                     Amount                                  Total_Positions Remaining_Positions
--------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- --------------------------------------- --------------- -------------------
1               Απόσυρση και αντικατάσταση με καινούργιο όχημα ιδιωτικής χρήσης χαμηλών εκπομπών CO2 (μέχρι 50 γρ/χλμ)                                                                                                                                                          7500.00                                 1228            4
2               Απόσυρση και αντικατάσταση με καινούργιο όχημα ταξί χαμηλών εκπομπών CO2 (μέχρι 50 γρ/χλμ)                                                                                                                                                                      12000.00                                30              4
3               Απόσυρση και αντικατάσταση με καινούργιο όχημα χαμηλών εκπομπών CO2 (μέχρι 50 γρ/χλμ) για δικαιούχο αναπηρικού οχήματος                                                                                                                                         15000.00                                30              4
4               Απόσυρση και αντικατάσταση με καινούργιο όχημα χαμηλών εκπομπών CO2 (μέχρι 50 γρ/χλμ) πολύτεκνης οικογένειας                                                                                                                                                    15000.00                                30              3
5               Χορηγία για αγορά καινούργιου οχήματος ιδιωτικής χρήσης μηδενικών εκπομπών CO2                                                                                                                                                                                  9000.00                                 1827            4
6               Χορηγία για αγορά καινούργιου οχήματος ταξί μηδενικών εκπομπών CO2                                                                                                                                                                                              20000.00                                60              4
7               Χορηγία για αγορά καινούργιου οχήματος μηδενικών εκπομπών CO2 για δικαιούχο αναπηρικού οχήματος                                                                                                                                                                 20000.00                                60              4
8               Χορηγία για αγορά καινούργιου οχήματος μηδενικών εκπομπών CO2 πολύτεκνης οικογένειας                                                                                                                                                                            20000.00                                60              4
9               Χορηγία για αγορά μεταχειρισμένου οχήματος ιδιωτικής χρήσης μηδενικών εκπομπών CO2                                                                                                                                                                              9000.00                                 104             4
10              Χορηγία για αγορά καινούργιου ηλεκτρικού οχήματος κατηγορίας Ν1 (εμπορικό μικτού βάρους μέχρι 3.500 κιλά) μηδενικών εκπομπών CO2                                                                                                                                15000.00                                185             4
11              Χορηγία για αγορά καινούργιου ηλεκτρικού οχήματος κατηγορίας Ν2 (εμπορικό μικτού βάρους που υπερβαίνει τα 3.500 κιλά αλλά δεν υπερβαίνει τα 12.000 κιλά) μηδενικών εκπομπών CO2                                                                                 25000.00                                4               4
12              Χορηγία για αγορά καινούργιου οχήματος κατηγορίας M2 μηδενικών εκπομπών CO2 (μικρό λεωφορείο το οποίο περιλαμβάνει περισσότερες από οκτώ θέσεις καθημένων πέραν του καθίσματος του οδηγού και έχει μέγιστη μάζα το πολύ 5 τόνους)                               40000.00                                2               2
13              Χορηγία για αγορά καινούργιου οχήματος μηδενικών εκπομπών CO2 κατηγορίας L6e (υποκατηγορία "Β") και L7e (υποκατηγορία "C")                                                                                                                                      4000.00                                 65              4
14              Χορηγία για αγορά καινούργιου οχήματος μηδενικών εκπομπών CO2 κατηγορίας L (εξαιρουμένων των οχημάτων κατηγορίας L6e (υποκατηγορία "Β") και L7e (υποκατηγορία "Β και C"))                                                                                       1500.00                                 893             4
15              Χορηγία για αγορά καινούργιου ηλεκτρικού ποδήλατου (υποβοηθούμενης ποδηλάτησης) χωρίς περιορισμό για τη θέση του κινητήρα ή της μπαταρίας                                                                                                                       500.00                                  933             4
16              Απόσυρση έναντι παροχής δωρεάν εισιτηρίων αξίας €250 για χρήση στις τακτικές γραμμές λεωφορείων και του εφάπαξ ποσού των €500                                                                                                                                   750.00                                  72              5

(16 rows affected)


Completion time: 2024-12-05T16:47:08.1984599+02:00
